model,decision_threshold,selected_model,accuracy,precision,recall,f1_score,macro_f1,weighted_f1,roc_auc,pr_auc,true_negatives,false_positives,false_negatives,true_positives
random_forest,0.3,True,0.6934,0.459,0.869,0.6007,0.6759,0.7112,0.8407,0.647,652,383,49,325
xgboost,0.25,False,0.741,0.5077,0.7914,0.6186,0.7112,0.7547,0.8415,0.654,748,287,78,296
logistic_regression,0.25,False,0.7289,0.4934,0.8048,0.6118,0.7018,0.744,0.8424,0.6368,726,309,73,301
balanced_logistic_regression,0.4,False,0.7083,0.4733,0.877,0.6148,0.69,0.7253,0.842,0.6353,670,365,46,328
dummy_classifier,0.25,False,0.2654,0.2654,1.0,0.4195,0.2098,0.1114,0.5,0.2654,0,1035,0,374
