method,risk_segment,customer_count,average_churn_probability,actual_churn_rate,average_tenure,average_monthly_charges,customer_percentage,contract_month_to_month_percentage,contract_one_year_percentage,contract_two_year_percentage
business_threshold_linked,Low Risk,478,0.0564,0.0314,48.9644,49.1364,0.3392,0.069,0.3285,0.6025
business_threshold_linked,Medium Risk,223,0.2152,0.1525,37.8027,66.1868,0.1583,0.4709,0.3587,0.1704
business_threshold_linked,High Risk,708,0.6185,0.459,18.5508,73.5231,0.5025,0.8969,0.089,0.0141
probability_quantiles,Low Risk,470,0.0548,0.0319,49.166,48.8545,0.3336,0.0681,0.3213,0.6106
probability_quantiles,Medium Risk,469,0.3107,0.2026,32.9424,68.5439,0.3329,0.5842,0.3113,0.1045
probability_quantiles,High Risk,470,0.7263,0.5617,13.6404,74.8777,0.3336,0.9936,0.0064,0.0
